가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
계족로 574번길,36.214641,127.255446,36.214862,127.265791,이팝나무,,0.9,,"봄이면 이팝나무 꽃이 아름답게 피고, 길 종점에 쌍청당 공원이 위치하여 산책하기에 적합함",,,"계족로~쌍청당로,",,,2020-04-16,3680000,대전광역시 대덕구
억만길,34.966222,127.626632,34.967487,127.619086,이팝,121,0.252,,푸른숲으로만 가득한거리를 하얀꽃이 한결 아름답게 만들어주는 거리,억만길,시도,사곡리~마로산성입구,,,2021-03-17,4840000,전라남도 광양시
세풍중군간도로,34.93917145,127.5792272,34.93893379,127.5827446,가시,251,2.368,,산뜻하고 싱그러운 거리를 보여줌,세풍중군간도로,시도,세승1교~세풍교차로,,,2021-03-17,4840000,전라남도 광양시
광양항전용1로,34.90789851,127.6596188,34.9067935,127.6606002,가시,1325,5.4,,산뜻하고 싱그러운 거리를 보여줌,광양항전용1로,시도,월드마린센터~인동IC,,,2021-03-17,4840000,전라남도 광양시
항만10로,34.92809721,127.6886547,34.92758459,127.6924153,먼+가시,165,0.66,,초록잎과 열매가 한결 거리를 싱그럽게 만들어줌,항만10로,시도,하수처리장~광양항,,,2021-03-17,4840000,전라남도 광양시
항만11로,34.92854626,127.692905,34.92639257,127.6935928,먼+가시,231,0.912,,초록잎과 열매가 한결 거리를 싱그럽게 만들어줌,항만11로,시도,홈플러스~항만파출소,,,2021-03-17,4840000,전라남도 광양시
항만12로,34.925562,127.694461,34.927515,127.698133,먼,83,0.42,,초록잎과 열매가 한결 거리를 싱그럽게 만들어줌,항만12로,시도,~원진케터링주변,,,2021-03-17,4840000,전라남도 광양시
항만9로,34.92176397,127.694391,34.92309177,127.6958741,먼,178,0.76,,초록잎과 열매가 한결 거리를 싱그럽게 만들어줌,항만9로,시도,길호대교~수산물품질검사원,,,2021-03-17,4840000,전라남도 광양시
공영로,34.93625448,127.6898695,34.93588783,127.693317,이팝,149,0.672,,차량이동이 많은 거리를 이팝나무로 인해 더욱 아름다워짐,공영로,시도,중동근린공원~동광양터미널,,,2021-03-17,4840000,전라남도 광양시
광장로,34.9391676,127.6899677,34.9388972,127.700988,먼+가시,358,0.928,,초록잎과 열매가 한결 거리를 싱그럽게 만들어줌,광장로,시도,아쿠아센터~태영2차,,,2021-03-17,4840000,전라남도 광양시
